Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Williams,Pulverized Coal,Operating,SC,33.0163,-79.9285,South Carolina Electric & Gas Co.,"South Carolina Generating Company, Inc.",632.7,NA,0,0,Not Considered,Plant Too Old
Vanderbilt University Power Plant,Pulverized Coal,Operating,TN,36.1456,-86.8042,Vanderbilt University,Vanderbilt University,11,NA,0,0,Not Considered,Low Operation
Gadsden,Pulverized Coal,Operating,AL,34.0128,-85.9708,Alabama Power Company,Alabama Power Company,138,NA,0,0,Not Considered,Plant Too Old
Big Cajun 2,Pulverized Coal,Operating,LA,30.7261,-91.3669,Multi-Owned,Louisiana Generating LLC,1871,NA,321.2,139.2,Good,
San Juan,Pulverized Coal,Operating,NM,36.8006,-108.4386,Multi-Owned,Public Service Company of New Mexico,1848,NA,161.6,41.3,Good,
Scherer,Pulverized Coal,Operating,GA,33.0583,-83.8072,Multi-Owned,Georgia Power Company,3564,NA,373.8,263.9,Fair,
Gibbons Creek,Pulverized Coal,Operating,TX,30.6167,-96.0778,Texas Municipal Power Agency,Texas Municipal Power Agency,453.5,NA,132.5,33.7,Good,
Harrington,Pulverized Coal,Operating,TX,35.2972,-101.7475,Southwestern Public Service Company,Southwestern Public Service Company,1080,NA,105.4,26.8,Good,
Twin Oaks Power,Pulverized Coal,Operating,TX,31.0932,-96.6965,Multi-Owned,"Optim Energy, LLC",349.2,NA,102.3,26,Good,
Navajo,Pulverized Coal,Operating,AZ,36.9047,-111.3886,Multi-Owned,Salt River Project,2250,NA,198.5,158.3,Good,
Muskogee Mill,Pulverized Coal,Operating,OK,35.7322,-95.2939,Georgia-Pacific LLC,Georgia-Pacific LLC,114,NA,13.2,3.3,Good,
Sandow (Alcoa),Pulverized Coal,Operating,TX,30.5642,-97.0639,Luminant Generation Company LLC,Luminant Generation Company LLC,661.5,NA,192,49.2,Good,
Longleaf,Pulverized Coal,Planned,GA,31.1844,-85.0359,LS Power Group,"Longleaf Energy Associates, LLC",0,1200,174.5,89.2,Good,
La Cygne,Pulverized Coal,Operating,KS,38.3472,-94.6389,"Kansas City Power & Light Co, Kansas Gas & Electric Co",Kansas City Power & Light Co,1418,NA,0,0,Not Considered,Plant Too Old
Flint Creek (AR),Pulverized Coal,Operating,AR,36.2561,-94.5241,"Arkansas Electric Coop Corp, Southwestern Electric Power Co",Southwestern Electric Power Co,528,NA,0,0,Not Considered,Plant Too Old
Lawrence Energy Center (KS),Pulverized Coal,Operating,KS,39.0072,-95.2692,Westar Energy Inc,Westar Energy Inc,529,NA,0,0,Not Considered,Plant Too Old
Quindaro,Pulverized Coal,Operating,KS,39.1486,-94.6405,Kansas City Board Public Utilities,Kansas City Board Public Utilities,183,NA,0,0,Not Considered,Plant Too Old
Nearman Creek,Pulverized Coal,Operating,KS,39.1714,-94.6958,Kansas City Board Public Utilities,Kansas City Board Public Utilities,229,NA,0,0,Not Considered,Plant Too Old
Riverton,Pulverized Coal,Operating,KS,37.0719,-94.6986,Empire District Electric Co (The),Empire District Electric Co (The),92,NA,0,0,Not Considered,Plant Too Old
Tecumseh Energy Center,Pulverized Coal,Operating,KS,39.0522,-95.5669,Westar Energy Inc,Westar Energy Inc,202,NA,0,0,Not Considered,Plant Too Old
Canton,Pulverized Coal,Operating,NC,35.535,-82.8411,Blue Ridge Paper Products Inc,Blue Ridge Paper Products Inc,52.5,NA,0,0,Not Considered,Plant Too Old
Henderson (MS),Pulverized Coal,Operating,MS,33.5153,-90.2072,Greenwood Utilities Commission,Greenwood Utilities Commission,32.6,NA,0,0,Not Considered,Plant Too Old
Cherokee (CO),Pulverized Coal,Operating,CO,39.8034,-104.9458,Public Service Company of Colorado,Public Service Company of Colorado,801.2,NA,0,0,Not Considered,Plant Too Old
Lumberton,Pulverized Coal,Operating,NC,34.59,-78.9968,Multi-Owned,"Lumberton Energy, LLC",34.7,NA,0,0,Not Considered,Low Operation
Wansley,Pulverized Coal,Operating,GA,33.4124,-85.0345,Multi-Owned,Georgia Power Company,1904,NA,0,0,Not Considered,Plant Too Old
Arapahoe,Pulverized Coal,Operating,CO,39.67,-105.0028,Public Service Company of Colorado,Public Service Company of Colorado,160,NA,0,0,Not Considered,Plant Too Old
Cliffside,Pulverized Coal,Operating,NC,35.22,-81.7594,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",780.9,825,0,0,Not Considered,Plant Too Old
Kraft,Pulverized Coal,Operating,GA,32.1486,-81.1458,Georgia Power Company,Georgia Power Company,207.9,NA,0,0,Not Considered,Plant Too Old
Hammond,Pulverized Coal,Operating,GA,34.2533,-85.3456,Georgia Power Company,Georgia Power Company,953,NA,0,0,Not Considered,Plant Too Old
Provo,Pulverized Coal,Operating,UT,40.1183,-111.6686,Provo City Corporation,Provo City Corporation,7.5,NA,0,0,Not Considered,Plant Too Old
Four Corners,Pulverized Coal,Operating,NM,36.69,-108.4814,Multi-Owned,Arizona Public Service Company,2269.6,NA,0,0,Not Considered,Plant Too Old
Lansing Smith,Pulverized Coal,Operating,FL,30.2689,-85.7003,Gulf Power Company,Gulf Power Company,340,NA,0,0,Not Considered,Plant Too Old
Snowflake Mill,Pulverized Coal,Operating,AZ,34.5025,-110.3361,Catalyst Paper (Snowflake) Inc.,Catalyst Paper (Snowflake) Inc.,70.5,NA,0,0,Not Considered,Plant Too Old
Gorgas,Pulverized Coal,Operating,AL,33.6446,-87.2003,Alabama Power Company,Alabama Power Company,1416.7,NA,0,0,Not Considered,Plant Too Old
TXI Riverside Cement Power House,Pulverized Coal,Operating,CA,34.6,-117.3333,U S West Financial Service Inc,U S West Financial Service Inc,24,NA,0,0,Not Considered,Plant Too Old
USDOE Savannah River Site (D Area),Pulverized Coal,Operating,SC,32.3683,-81.3413,Department of Energy,Washington Savannah River Company LLC,78.2,NA,0,0,Not Considered,Plant Too Old
North Omaha,Pulverized Coal,Operating,NE,41.3297,-95.9458,Omaha Public Power District,Omaha Public Power District,646.3,NA,0,0,Not Considered,Plant Too Old
