stateId,year,hdd
TX,2011,1827
TX,2010,2149
TX,2009,1846
TX,2008,1795
TX,2007,1855
TX,2006,1520
TX,2005,1707
TX,2004,1774
TX,2003,1895
TX,2002,2004
TX,2001,1905
TX,2000,1807
TX,1999,1506
TX,1998,1728
TX,1997,2148
TX,1996,1915
TX,1995,1806
TX,1994,1793
TX,1993,2137
TX,1992,1875
TX,1991,1934
TX,1990,1701
TX,1989,2158
TX,1988,2040
TX,1987,2061
TX,1986,1818
TX,1985,2215
TX,1984,1919
TX,1983,2394
TX,1982,1998
TX,1981,1914
TX,1980,2129
TX,1979,2445
TX,1978,2524
TX,1977,2102
TX,1976,2252
TX,1975,1968
TX,1974,1915
TX,1973,2100
TX,1972,2074
TX,1971,1737
TX,1970,2194
TX,1969,2103
TX,1968,2338
TX,1967,1921
TX,1966,2271
TX,1965,1931
TX,1964,2138
TX,1963,2289
TX,1962,2124
TX,1961,2181
TX,1960,2399
UT,2022,7019
UT,2021,6551
UT,2020,6693
UT,2019,7436
UT,2018,6725
UT,2017,6641
UT,2016,6549
UT,2015,6286
UT,2014,6510
UT,2013,7486
UT,2012,6383
UT,2011,7507
UT,2010,7171
UT,2009,7262
UT,2008,7454
UT,2007,6813
UT,2006,7002
UT,2005,6908
UT,2004,7078
UT,2003,6602
UT,2002,7318
UT,2001,6783
UT,2000,6748
UT,1999,6841
UT,1998,7203
UT,1997,7231
UT,1996,6975
UT,1995,6861
UT,1994,6861
UT,1993,7713
UT,1992,6823
UT,1991,7497
UT,1990,7139
UT,1989,7241
UT,1988,7197
UT,1987,7007
UT,1986,6923
UT,1985,7962
UT,1984,8226
UT,1983,7333
UT,1982,7949
UT,1981,6645
UT,1980,7105
UT,1979,7652
UT,1978,7312
UT,1977,7067
UT,1976,7517
UT,1975,8040
UT,1974,7358
UT,1973,7854
UT,1972,7348
UT,1971,7849
UT,1970,7541
UT,1969,7364
UT,1968,7747
UT,1967,7462
UT,1966,7367
UT,1965,7455
UT,1964,8114
UT,1963,7144
UT,1962,7289
UT,1961,7365
UT,1960,7320
VA,2022,4233
VA,2021,3927
VA,2020,3763
VA,2019,3992
VA,2018,4322
VA,2017,3789
VA,2016,4065
VA,2015,4164
VA,2014,4709
VA,2013,4434
VA,2012,3761
VA,2011,4038
VA,2010,4539
VA,2009,4436
VA,2008,4269
VA,2007,4094
VA,2006,3943
VA,2005,4413
VA,2004,4270
VA,2003,4539
VA,2002,4138
VA,2001,4130
VA,2000,4492
VA,1999,4143
VA,1998,3787
VA,1997,4528
VA,1996,4795
VA,1995,4606
VA,1994,4415
VA,1993,4659
VA,1992,4553
VA,1991,3991
VA,1990,3640
VA,1989,4767
VA,1988,4908
VA,1987,4647
VA,1986,4409
VA,1985,4278
VA,1984,4465
VA,1983,4728
VA,1982,4540
VA,1981,4925
VA,1980,4876
VA,1979,4735
VA,1978,5027
VA,1977,4711
VA,1976,4742
VA,1975,4381
VA,1974,4222
VA,1973,4351
VA,1972,4613
VA,1971,4517
VA,1970,4737
VA,1969,5016
VA,1968,4875
VA,1967,4822
VA,1966,5027
VA,1965,4681
VA,1964,4578
VA,1963,4950
VA,1962,4938
VA,1961,4759
VA,1960,5003
VT,2022,7715
VT,2021,7426
VT,2020,7481
VT,2019,8471
VT,2018,8104
VT,2017,7724
VT,2016,7520
VT,2015,8190
VT,2014,8403
VT,2013,8030
VT,2012,7064
VT,2011,7656
VT,2010,7463
VT,2009,8284
VT,2008,8036
VT,2007,8295
VT,2006,7355
VT,2005,8079
VT,2004,8441
VT,2003,8631
VT,2002,7867
VT,2001,7783
VT,2000,8400
VT,1999,7698
VT,1998,7281
VT,1997,8692
VT,1996,8410
VT,1995,8340
VT,1994,8689
VT,1993,8704
VT,1992,8802
VT,1991,7856
VT,1990,7660
VT,1989,8845
VT,1988,8552
VT,1987,8319
