period,seriesId,seriesDescription,stateId,stateDescription,value,unit,Outlier
2009,RERCB,Renewable energy sources consumed by the residential sector,CA,California,54136,Billion Btu,True
2009,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,44459,Billion Btu,True
2009,REPRB,Renewable energy production,US,United States,5309126,Billion Btu,True
2009,RETCB,Renewable energy total consumption,CA,California,419880,Billion Btu,True
2009,RETCB,Renewable energy total consumption,WA,Washington,368148,Billion Btu,True
2009,REPRB,Renewable energy production,IA,Iowa,494557,Billion Btu,True
2009,RETCB,Renewable energy total consumption,US,United States,5292518,Billion Btu,True
2008,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,56596,Billion Btu,True
2008,RERCB,Renewable energy sources consumed by the residential sector,US,United States,552252,Billion Btu,True
2008,RERCB,Renewable energy sources consumed by the residential sector,CA,California,45016,Billion Btu,True
2008,REPRB,Renewable energy production,US,United States,5084562,Billion Btu,True
2008,RETCB,Renewable energy total consumption,CA,California,397932,Billion Btu,True
2008,REPRB,Renewable energy production,WA,Washington,358529,Billion Btu,True
2008,RETCB,Renewable energy total consumption,WA,Washington,374417,Billion Btu,True
2008,REPRB,Renewable energy production,IA,Iowa,381752,Billion Btu,True
2008,RETCB,Renewable energy total consumption,US,United States,5067705,Billion Btu,True
2007,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,50565,Billion Btu,True
2007,RERCB,Renewable energy sources consumed by the residential sector,US,United States,495431,Billion Btu,True
2007,RERCB,Renewable energy sources consumed by the residential sector,CA,California,41341,Billion Btu,True
2007,RETCB,Renewable energy total consumption,US,United States,4594859,Billion Btu,True
2007,REPRB,Renewable energy production,US,United States,4582117,Billion Btu,True
2007,RETCB,Renewable energy total consumption,CA,California,403525,Billion Btu,True
2007,REPRB,Renewable energy production,WA,Washington,358884,Billion Btu,True
2007,RETCB,Renewable energy total consumption,WA,Washington,368526,Billion Btu,True
2006,RERCB,Renewable energy sources consumed by the residential sector,US,United States,449651,Billion Btu,True
2006,RERCB,Renewable energy sources consumed by the residential sector,CA,California,38204,Billion Btu,True
2006,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,45723,Billion Btu,True
2006,REPRB,Renewable energy production,WA,Washington,387878,Billion Btu,True
2006,RETCB,Renewable energy total consumption,US,United States,4480272,Billion Btu,True
2006,RETCB,Renewable energy total consumption,WA,Washington,396795,Billion Btu,True
2006,RETCB,Renewable energy total consumption,CA,California,464146,Billion Btu,True
2006,REPRB,Renewable energy production,CA,California,388725,Billion Btu,True
2006,REPRB,Renewable energy production,US,United States,4429647,Billion Btu,True
2005,RERCB,Renewable energy sources consumed by the residential sector,CA,California,40437,Billion Btu,True
