year,stateId,REPRB,RERCB,RETCB
1996,VT,13335.0,2271.0,13335.0
1996,WA,426607.0,18111.0,427620.0
1996,WI,105181.0,8637.0,109575.0
1996,WV,12164.0,4868.0,12182.0
1996,WY,6298.0,1004.0,6383.0
1997,AK,7520.0,1584.0,8109.0
1997,AL,221323.0,6726.0,221668.0
1997,AR,100134.0,3598.0,100134.0
1997,AZ,59656.0,13488.0,61559.0
1997,CA,369373.0,57150.0,376474.0
1997,CO,19482.0,8667.0,24693.0
1997,CT,47670.0,7994.0,47965.0
1997,DC,1377.0,1180.0,1377.0
1997,DE,2202.0,1525.0,2202.0
1997,FL,229667.0,37927.0,229786.0
1997,GA,233372.0,13952.0,233372.0
1997,HI,19937.0,1217.0,19937.0
1997,IA,104705.0,4941.0,74583.0
1997,ID,79533.0,2556.0,79204.0
1997,IL,102241.0,12087.0,90517.0
1997,IN,41931.0,6752.0,43216.0
1997,KS,11790.0,4571.0,10255.0
1997,KY,24981.0,6206.0,25533.0
1997,LA,142583.0,4130.0,142648.0
1997,MA,65292.0,14741.0,65292.0
1997,MD,42117.0,9302.0,42372.0
1997,ME,137018.0,3654.0,137018.0
1997,MI,102095.0,11126.0,104363.0
1997,MN,76107.0,8633.0,82546.0
1997,MO,19917.0,9760.0,20496.0
1997,MS,84291.0,3922.0,84291.0
1997,MT,62159.0,1933.0,62094.0
1997,NC,126557.0,14834.0,129323.0
1997,ND,15889.0,1269.0,15086.0
1997,NE,51014.0,2916.0,30558.0
1997,NH,31253.0,3074.0,31253.0
1997,NJ,39140.0,9151.0,40109.0
1997,NM,7265.0,4179.0,8002.0
1997,NV,19826.0,4035.0,19826.0
1997,NY,282909.0,84615.0,284752.0
1997,OH,70737.0,11870.0,83483.0
1997,OK,35316.0,3230.0,35316.0
1997,OR,212960.0,9467.0,212960.0
1997,PA,99363.0,14574.0,104346.0
1997,RI,4295.0,2476.0,4295.0
1997,SC,111865.0,7400.0,111865.0
1997,SD,34628.0,1338.0,35035.0
1997,TN,89021.0,8236.0,86761.0
1997,TX,109930.0,11624.0,113638.0
1997,UT,10114.0,3646.0,10114.0
1997,VA,116648.0,12637.0,119055.0
1997,VT,12689.0,1655.0,12689.0
1997,WA,450520.0,15361.0,452482.0
1997,WI,106301.0,5842.0,111497.0
1997,WV,9837.0,3544.0,9853.0
1997,WY,7033.0,1055.0,6890.0
1998,AK,5737.0,1409.0,6084.0
1998,AL,245383.0,5991.0,245667.0
1998,AR,93780.0,3268.0,93780.0
1998,AZ,52211.0,12329.0,53679.0
1998,CA,387102.0,52502.0,392331.0
1998,CO,16338.0,7738.0,21478.0
1998,CT,46144.0,7157.0,46427.0
1998,DC,1221.0,1049.0,1221.0
1998,DE,1935.0,1368.0,1935.0
1998,FL,204138.0,36917.0,204260.0
1998,GA,221057.0,12443.0,221057.0
1998,HI,19091.0,1252.0,19091.0
1998,IA,101783.0,4405.0,72818.0
1998,ID,72434.0,2283.0,72052.0
1998,IL,104277.0,10853.0,90544.0
1998,IN,40935.0,6108.0,41269.0
1998,KS,11581.0,4068.0,9818.0
1998,KY,22338.0,5564.0,22665.0
1998,LA,140271.0,3704.0,140327.0
1998,MA,59419.0,13115.0,59419.0
1998,MD,40646.0,8284.0,40856.0
1998,ME,126027.0,3260.0,126027.0
1998,MI,96473.0,10033.0,99402.0
1998,MN,73043.0,7727.0,80365.0
1998,MO,21476.0,8690.0,22132.0
1998,MS,64175.0,3487.0,64175.0
1998,MT,52877.0,1722.0,52849.0
1998,NC,120693.0,13220.0,124075.0
1998,ND,12791.0,1142.0,11747.0
1998,NE,53159.0,2603.0,31247.0
1998,NH,29751.0,2735.0,29751.0
1998,NJ,38653.0,8238.0,39413.0
1998,NM,6862.0,3752.0,8439.0
1998,NV,21196.0,3711.0,22416.0
1998,NY,259886.0,75271.0,261254.0
1998,OH,64451.0,10656.0,83194.0
1998,OK,36785.0,2879.0,36785.0
1998,OR,183478.0,8516.0,184703.0
1998,PA,94386.0,13026.0,95530.0
1998,RI,4137.0,2203.0,4137.0
1998,SC,105738.0,6597.0,105738.0
1998,SD,23776.0,1196.0,24153.0
1998,TN,88253.0,7331.0,85535.0
1998,TX,99855.0,10485.0,105346.0
1998,UT,9496.0,3250.0,10526.0
1998,VA,114361.0,11266.0,117403.0
1998,VT,12187.0,1474.0,12187.0
1998,WA,360447.0,13679.0,363145.0
1998,WI,96298.0,5230.0,98824.0
1998,WV,8840.0,3153.0,8842.0
1998,WY,6800.0,938.0,6611.0
1999,AK,4648.0,1480.0,5040.0
1999,AL,237321.0,6140.0,237358.0
1999,AR,92463.0,3243.0,92463.0
1999,AZ,48375.0,12420.0,49643.0
1999,CA,367625.0,52678.0,372132.0
1999,CO,17386.0,7962.0,21743.0
1999,CT,46413.0,7377.0,46716.0
1999,DC,1258.0,1076.0,1258.0
1999,DE,1999.0,1409.0,1999.0
1999,FL,203158.0,36436.0,203241.0
1999,GA,212369.0,12786.0,212369.0
1999,HI,19430.0,1275.0,19430.0
1999,IA,105517.0,4530.0,75731.0
1999,ID,75764.0,2273.0,75416.0
1999,IL,103042.0,11204.0,92867.0
1999,IN,40351.0,6345.0,44825.0
1999,KS,11444.0,4175.0,10058.0
1999,KY,20784.0,5746.0,21088.0
1999,LA,142844.0,3814.0,142980.0
1999,MA,58519.0,13454.0,58519.0
1999,MD,40970.0,8510.0,41184.0
1999,ME,133593.0,3347.0,133593.0
1999,MI,98008.0,10369.0,101323.0
1999,MN,84072.0,7921.0,87458.0
1999,MO,19870.0,8912.0,21279.0
1999,MS,65132.0,3578.0,65132.0
1999,MT,62847.0,1792.0,62836.0
1999,NC,114627.0,13572.0,117528.0
1999,ND,13829.0,1183.0,12906.0
1999,NE,56059.0,2678.0,32897.0
1999,NH,29290.0,2810.0,29290.0
1999,NJ,39706.0,8456.0,40356.0
1999,NM,7311.0,3800.0,8572.0
1999,NV,20065.0,3897.0,22270.0
1999,NY,250461.0,77245.0,251643.0
1999,OH,71466.0,11002.0,90671.0
1999,OK,33680.0,2946.0,33680.0
1999,OR,198266.0,8857.0,199304.0
1999,PA,95979.0,13360.0,96960.0
1999,RI,4360.0,2262.0,4360.0
1999,SC,85469.0,6783.0,85469.0
1999,SD,27110.0,1245.0,27606.0
1999,TN,81264.0,7524.0,78673.0
1999,TX,84175.0,10812.0,88905.0
1999,UT,10748.0,3299.0,11624.0
1999,VA,115568.0,11578.0,118184.0
1999,VT,12559.0,1521.0,12559.0
1999,WA,420929.0,14017.0,423236.0
1999,WI,100687.0,5361.0,102773.0
1999,WV,8469.0,3238.0,8470.0
1999,WY,6289.0,965.0,6108.0
2000,AK,5403.0,1590.0,5574.0
2000,AL,223807.0,6586.0,223807.0
2000,AR,92540.0,3271.0,92540.0
2000,AZ,44053.0,12871.0,45505.0
2000,CA,364952.0,54412.0,370066.0
2000,CO,17196.0,8538.0,22119.0
2000,CT,47003.0,7920.0,47338.0
2000,DC,1353.0,1159.0,1353.0
2000,DE,2288.0,1506.0,2288.0
2000,FL,194363.0,35824.0,194517.0
2000,GA,205344.0,13757.0,205344.0
2000,HI,17784.0,1276.0,17784.0
2000,IA,99882.0,4869.0,71239.0
2000,ID,66995.0,2458.0,66584.0
2000,IL,108816.0,12014.0,96707.0
2000,IN,40030.0,6767.0,44680.0
2000,KS,11810.0,4488.0,9816.0
2000,KY,20271.0,6158.0,20504.0
2000,LA,138715.0,4080.0,138738.0
2000,MA,62221.0,14456.0,62221.0
2000,MD,42122.0,9150.0,42360.0
2000,ME,138647.0,3589.0,138647.0
2000,MI,100813.0,11052.0,108675.0
2000,MN,92184.0,8453.0,93403.0
2000,MO,17606.0,9566.0,19220.0
2000,MS,75389.0,3852.0,75389.0
2000,MT,48460.0,1925.0,48460.0
2000,NC,114931.0,14575.0,118207.0
2000,ND,12858.0,1265.0,11741.0
2000,NE,57269.0,2876.0,33498.0
2000,NH,28931.0,3020.0,28931.0
2000,NJ,40148.0,9035.0,40916.0
2000,NM,7701.0,4002.0,9109.0
2000,NV,18930.0,4228.0,21320.0
2000,NY,260001.0,83132.0,261307.0
2000,OH,75371.0,11797.0,94967.0
2000,OK,31931.0,3158.0,31931.0
2000,OR,177442.0,9494.0,178605.0
2000,PA,97972.0,14298.0,99079.0
2000,RI,4486.0,2430.0,4486.0
2000,SC,82051.0,7292.0,82051.0
2000,SD,24066.0,1335.0,24637.0
2000,TN,80237.0,8089.0,77076.0
2000,TX,87097.0,11551.0,92516.0
2000,UT,9308.0,3545.0,10305.0
2000,VA,109231.0,12444.0,112213.0
2000,VT,13014.0,1636.0,13014.0
2000,WA,363955.0,15031.0,366576.0
2000,WI,99824.0,5728.0,102202.0
2000,WV,9566.0,3480.0,9592.0
2000,WY,6702.0,1039.0,6478.0
2001,AK,7654.0,2563.0,8126.0
2001,AL,193688.0,5438.0,195007.0
2001,AR,76364.0,3060.0,76386.0
2001,AZ,37740.0,8768.0,39763.0
2001,CA,318256.0,52116.0,325466.0
2001,CO,13038.0,5029.0,19783.0
2001,CT,27828.0,6381.0,27934.0
2001,DC,865.0,735.0,865.0
2001,DE,1322.0,1044.0,1323.0
2001,FL,157016.0,33385.0,157115.0
2001,GA,174091.0,9366.0,174098.0
2001,HI,10241.0,1228.0,10248.0
2001,IA,96388.0,4840.0,67480.0
2001,ID,55054.0,1422.0,54613.0
2001,IL,112174.0,16206.0,99873.0
2001,IN,45664.0,9018.0,49208.0
2001,KS,12631.0,4413.0,10477.0
2001,KY,26509.0,5180.0,26855.0
2001,LA,131018.0,3767.0,131061.0
2001,MA,43124.0,11663.0,43130.0
2001,MD,25055.0,5973.0,25084.0
2001,ME,127839.0,2980.0,127842.0
2001,MI,83345.0,14682.0,88213.0
2001,MN,96985.0,8490.0,96083.0
2001,MO,25285.0,9573.0,25500.0
2001,MS,56085.0,3168.0,56103.0
2001,MT,34795.0,1110.0,34881.0
2001,NC,109382.0,10020.0,113906.0
2001,ND,11443.0,1233.0,10285.0
2001,NE,62354.0,2874.0,35615.0
2001,NH,23330.0,2454.0,23331.0
2001,NJ,28837.0,8551.0,29874.0
2001,NM,6384.0,2376.0,6268.0
2001,NV,17700.0,2918.0,20294.0
2001,NY,190812.0,55686.0,191259.0
2001,OH,47564.0,15868.0,64850.0
